openedAt,mintAmount,option,depositAmount,withdrawAmount,premiumEarned,strikePrice
2022-07-22,18316.65394692,0x666173966e254d5ec237074c0c9e9be4b510df64,18316.653946928403,18316.653946928403,82.67928864279737,2100.0
2022-07-15,22870.60192562,0xc436fb6ac58150783463564eadcf0d0a5f9bede0,22870.60192562564,20229.89640538351,125.9026636005381,1400.0
2022-07-08,17131.11762629,0x45611bed2a2f2e7315751ecbeb7186496fa83da6,17131.117626291645,17131.117626291645,55.09367428629761,1450.0
2022-07-01,16745.95148188,0x037b32da8e39cd3685f20dc20b9e6ce75715c621,16745.951481880966,16745.951481880966,95.451923446716,1250.0
2022-06-24,15848.12566351,0x9fb9c5555d40813b3b3205d6cfb5432917645026,15848.125663516967,15848.125663516967,85.5957267086175,1350.0
2022-06-17,15920.25231669,0xf72434484fcb724e598dfc907a373bbc5e2147c3,15920.252316690476,15920.252316690476,91.631,1350.0
2022-06-10,19309.61361729,0x55388d2986d700cfe78b9b3d5c8ddb7f768a9d5d,19309.61361729914,19309.61361729914,61.88731164341445,2050.0
2022-06-03,18806.82299768,0x3dd4090c0f8176d815b2ffb31b228fea14788e9c,18806.82299768769,18806.82299768769,92.3415009186088,2000.0
2022-05-27,19376.89022706,0xda17546a52dc922633e0578d580390e353a828cd,19376.890227069453,19376.890227069453,49.03723301630416,2100.0
2022-05-20,19967.8561495,0xb3f70278d5b54fcf98b64d97b35b69b33ab1397d,19967.856149507606,19967.856149507606,91.25310280289357,2300.0
2022-05-13,19178.57950724,0x4875890582a7089b2018c75bbd1c02d9e6937ec4,19178.579507242335,19178.579507242335,78.86231893377989,2500.0
2022-05-06,21877.40010533,0xa63ce43384116c8b97cbbf205a87ca6d61cc0dd6,21877.40010533832,21877.40010533832,76.570900368655,3000.0
2022-04-29,20876.03615311,0xed3a029488b84121b8d11498f2cecee55aa6092d,20876.036153111378,20876.036153111378,60.38840423835036,3200.0
2022-04-22,19587.65111783,0x0520e7d67b99ff43d8d56454e487608f285bf750,19587.651117830694,19587.651117830694,74.64853841005014,3300.0
2022-04-15,17256.97331712,0x30027446ca9648c10625435cfe74fb0e27fde75f,17256.97331712556,17256.97331712556,34.92811399387864,3400.0
