mintAmount,openedAt,openTxhash,premiumEarned,strikePrice
18134.65321799,2022-07-08,0x23699911b3b486ef7f4cc0665a7f60504e62dca1f8117d742fc620c522f6bb08,136700.954767,1000.0
21650.58672949,2022-07-01,0x9fa33c4aee67680a32657ae6358d736d6f8f1ad784af3454fcbe92c874a4d1a1,226330.174073,850.0
19543.34076526,2022-06-24,0x2421a38347f35e272bbfa119bbf09cca2f30cd67cdafc670343eeb50e8eac1ca,160478.736778,950.0
24431.70335022,2022-06-17,0x2317a7e590ef3a9df508197a3d6fdb4cf3cbf34afeed659250e5d7fb66e12906,367415.460001,800.0
35067.16513142,2022-06-10,0x7f8d5b405b6dce95206bbc79aeed4df96f3a1c4b4f61e9b499d24b3bbde62c97,385235.786086,1500.0
35944.28910324,2022-06-03,0x82ad4454942949a08ea24ecccc2e350f6093f5d7103069ddf2a4b76752aea520,452179.156918,1500.0
39512.61226318,2022-05-27,0x6e8e2b9ef3a191a8976987b0221a754bce3a1e6f12da8c223af1604a30fe81ce,378522.034591,1400.0
34444.46213049,2022-05-20,0x3cddd5a85d1579dccf83d6a7f602840dbdeac4552febfae4c4bfae69fa0bb687,292777.928109,1700.0
37348.82213008,2022-05-13,0x8145f1791037117a1a038bc2eda8fb0953f2dbcb69dcda3de0ce42a50033f0c5,471715.623502,1700.0
46069.88529554,2022-05-06,0x82fd7d15c6227c0bbdb9ea9ab6902f33c03af6f22e9035bf40e64dce05156e21,583631.304206,2400.0
43369.61144867,2022-04-29,0x4e596bdb334cac4a35f70dea941cd5f402ba9ccdd6b1cb486a4abc3df88aecc4,419515.887445,2500.0
41002.23321087,2022-04-22,0xef8c75ee0638c39484a2774e06aed8839b074b4cdbbcb55396ca4e6c56ba9a34,400476.689547,2700.0
41761.96004711,2022-04-15,0x21fd589e85e49c406b59124950e2ad904129e15913e8561acf8318130dfca827,245020.0,2700.0
38460.82293548,2022-04-08,0xef5e0f678a162300cb0d2227e77e202bd98de54028b7ae8cd87271e8303f9f20,332550.045,2900.0
37763.93199213,2022-04-01,0xf74cf7957a634091008bf4e3c75b35e194dd44b991387cfaf2bda9abf104b8c1,494707.509096,2900.0
38614.96058425,2022-03-25,0xdec9b35f853acd02f801c1560383fc26116f3cb27606b07dd2788a96a56828b5,444458.196324,2800.0
39287.64242659,2022-03-18,0x84379296681b69be2511a4cdce337d259428db4115489c6994a1164fd0e73295,650143.948,2500.0
41730.50357134,2022-03-11,0xb4953b483e5d486b8edace9ee02f25d5e48683bbcf1bb530cfc14a9c3c886ecc,542496.546427,2200.0
35173.60106348,2022-03-04,0xa9a0ee5aa944a87c8131205ac282e85344eb5ee892d8686ed693aa09ffbf3975,580364.452721,2400.0
37426.71080178,2022-02-25,0xd7d9634009e719b941fae680aa16c2801aa93926ba672c9335e7690d60447591,431334.364,2200.0
29790.66350909,2022-02-18,0xccecc851f424f427a55082252e3e26af0cc92a697427aadaefa84554c40eb2b6,196882.0,2600.0
28136.93007155,2022-02-11,0x0c0d7d59e5aa8f20d46003cfa7d3f7b04bfc1a9441a80bee634707fcc34e6bb9,393945.157931,2700.0
29437.61069382,2022-02-04,0x825f314f71a4cfafee573546b8b99cb360776ed168db71422db9dd99f1fb1302,400351.505435,2500.0
26537.45876301,2022-01-28,0x918d81543f010baa8e3c327ae583a66e79a378c84af275841f4e674843bf2587,438948.961505,2000.0
27030.78815975,2022-01-21,0xb0dacc365a5b2c8295de35d02a873d288c3abb224d63bacc3f0f7734ff26c1de,330736.0,2500.0
18272.05565833,2022-01-14,0xe995e384c0bed6fe45bdfe48f63c16e608f25774387f504703d6a03f37487d1e,316106.562889,2900.0
14221.76838239,2022-01-07,0xb2153748cecd06d0c978f29e11e7eabb21fbfb58cfcd8774ec64876bcc541007,251725.300368,2800.0
3756.4216889,2021-12-31,0x337866fc845aa4cc0255431119d3dcfc9fea193eed2b539b0a0494652ce2ba5d,45077.060266,3300.0
2.39316001,2021-12-27,0x6032e59085e808899098d80a2662b31ee4072bde855b8f8541af3d4db5d519f9,43.733802,3700.0
2.19154041,2021-12-09,0x28d25374a1e2dcbfa9ce0214cfcd090113b65059fdb7dcea131a50446037619e,21.91,4100.0
