datetime,totalValueLockedUSD,totalBorrowBalanceUSD,totalDepositBalanceUSD,utilizationRate,borrowerStableRate,borrowerVariableRate,lenderVariableRate,market,dailyDepositUSD,dailyWithdrawUSD,inputTokenPriceUSD,blockNumber
2023-07-09,225198262.8805398061723748,21345175.3415295645408517,225198262.8805398061723748,0.09478392536647794,7.4744116189733295,0.8425209251276169,0.0638857358350106,Aave Ethereum WBTC,1102037.998878187261286,442180.5339131927559587,30143.30673443,17659114
2023-07-08,224624622.186162868042269,21171404.327582212749531,224624622.186162868042269,0.09425237590399116,7.4661437616462442,0.8377964352264252,0.0631712580190295,Aave Ethereum WBTC,616874.4891873084241481,481521.042593797178658,30154.4976177,17651631
2023-07-07,225747631.9050465997491984,21289712.1944671658007728,225747631.9050465997491984,0.09430757707093906,7.4670030176118544,0.8382874386353454,0.0632453246796427,Aave Ethereum WBTC,4335755.303303023983573,1124661.2938046630369038,30323.63541296,17645168
2023-07-06,220127464.398027438209088,21057227.880654028092768,220127464.398027438209088,0.09565924878223747,7.488029555027114,0.8503026028726366,0.0650713064806783,Aave Ethereum WBTC,2011762.070286099053513,1050226.1004369918429881,29998.9539792,17638223
2023-07-05,222494845.10572187158049,21741080.634306465271925,222494845.10572187158049,0.09771498581900114,7.5200083288732357,0.8685761879275632,0.06789821348113,Aave Ethereum WBTC,554611.6473929949036674,5039118.6530672577706748,30452.2546165,17630704
2023-07-04,229751945.8691096274570798,32428194.9519170678889438,229751945.8691096274570798,0.1411443756406377,8.1955772048673119,1.2546155456384639,0.1416654150621931,Aave Ethereum WBTC,19506442.1559616937582771,2634961.9943442090439223,30826.11694794,17623435
2023-07-03,215230622.9476867854490992,45205072.9309321612291215,215230622.9476867854490992,0.21003086044089345,9.2670886074151934,1.8669077756658248,0.3136810178557366,Aave Ethereum WBTC,1236931.4717403657371825,869078.7038377195222317,31149.76940553,17616706
2023-07-02,211367927.8281753272199375,44472570.448937021646325,211367927.8281753272199375,0.2104035882165129,9.2728933357767542,1.8702247633010024,0.3147966598737861,Aave Ethereum WBTC,824923.1535646179787705,230034.1108405541261833,30643.71588625,17609698
2023-07-01,210318459.6887089704,44374859.2182053628,210318459.6887089704,0.21098889409842728,9.2820050624978267,1.8754314642844724,0.316551885950538,Aave Ethereum WBTC,3772475.0467250782912932,617499.0118904912239926,30578.04,17602422
2023-06-30,206396761.5742332203991123,43974163.4611773113784237,206396761.5742332203991123,0.2130564604104093,9.3141733963109001,1.8938133693205144,0.3227876170035407,Aave Ethereum WBTC,2153585.6534495866320557,624566.7910268051265872,30467.43267999,17595288
2023-06-29,204594542.2499795695913367,43791028.0836705281784847,204594542.2499795695913367,0.21403810483940172,9.3294501573307509,1.9025429470461434,0.3257702698819522,Aave Ethereum WBTC,5647005.1098137330517079,3167242.4455117688222605,30425.34611663,17588370
2023-06-28,199474445.2599314967717314,53838260.6842472289241052,199474445.2599314967717314,0.26990054096449084,10.1984260584465616,2.3991006048266067,0.5180115340871451,Aave Ethereum WBTC,556675.4975115050394544,198171.6693215592017647,30028.42506997,17580979
2023-06-27,203197011.5291642918395365,55695575.2844428430038176,203197011.5291642918395365,0.27409642920092364,10.2637099630652466,2.4364056931801409,0.5342465431584543,Aave Ethereum WBTC,3036760.7750885120616418,23040.6722028276430763,30643.29349239,17574103
2023-06-26,197113902.2638449371136,54849283.7238280731168,197113902.2638449371136,0.2782618734340213,10.3284070548316062,2.4733754599037749,0.5505827549088789,Aave Ethereum WBTC,386370.2801038195890382,190024.5635813550878919,30178.44216,17566876
2023-06-25,198456756.9397050717858492,55468669.1031885111691314,198456756.9397050717858492,0.27950002790804923,10.3476843393383765,2.4843910510505008,0.5554979005085831,Aave Ethereum WBTC,1181453.1587006552807976,484244.0267300158449752,30414.55327458,17559247
2023-06-24,198093453.0275449043044869,55590384.0308246277885326,198093453.0275449043044869,0.2806270635460869,10.3652311248018087,2.4944177856010336,0.5599908080210487,Aave Ethereum WBTC,2570113.5910962448203228,640341.1175541768582647,30466.28397863,17552512
2023-06-23,196868685.8801286127467666,55785190.3240269211298512,196868685.8801286127467666,0.2833624355982849,10.4077962961150577,2.5187407406371758,0.5709649426690958,Aave Ethereum WBTC,1500576.3210895439599136,1779849.9324638478564094,30574.31113039,17545686
2023-06-22,192878235.363681996345084,54418607.887139526465102,192878235.363681996345084,0.2821397022039858,10.3887939060925916,2.5078822320529095,0.5660525960862015,Aave Ethereum WBTC,1573989.9915636578348532,1546980.2053701595835198,29912.4664834,17538360
2023-06-21,193948412.3621084301232439,54551675.3038880176375003,193948412.3621084301232439,0.2812689964279684,10.3752663439682909,2.5001521965533091,0.5625684905337303,Aave Ethereum WBTC,11450628.7455676002131729,8268165.1901658300657836,30081.05532367,17531355
2023-06-20,178789116.470199938505936,50099246.6635226362272224,178789116.470199938505936,0.2802141855870351,10.358874591769214,2.4907854810109794,0.5583611081173587,Aave Ethereum WBTC,14381089.1194094263915631,9575780.8356904676876547,28226.52214816,17524167
2023-06-19,164618388.8232124094120064,48080604.7617180494741504,164618388.8232124094120064,0.29207310984772755,10.5432371168561426,2.5961354953463672,0.6065927559177595,Aave Ethereum WBTC,980602.8073041597530186,107104.7789508507169793,26750.21508992,17516798
