datetime,totalValueLockedUSD,totalBorrowBalanceUSD,totalDepositBalanceUSD,borrowerStableRate,borrowerVariableRate,lenderVariableRate,market,dailyDepositUSD,dailyWithdrawUSD,inputTokenPriceUSD,blockNumber,maximumLTV,totalCollateralBalanceUSD
2023-08-26,55586872.78773749,961111.2769625315,55586872.78773749,9.268958971832824,0.2689589718328245,0.0039528057374977,Aave Ethereum rETH,65780.04610566047,43875.043655262,1781.31997048,18001529,67.0,1434494.443227659
2023-08-25,55662663.23016284,1035028.399800353,55662663.23016284,9.289249687451951,0.2892496874519513,0.0045717154995467,Aave Ethereum rETH,268232.3388206908,132.9379639913044,1784.44761987,17994786,67.0,1544818.507164706
2023-08-24,55514840.771791145,1248470.4832017145,55514840.771791145,9.349827386210372,0.3498273862103721,0.0066871491506591,Aave Ethereum rETH,1358597.8982901045,59649.72455434375,1788.35443448,17987615,67.0,1863388.7808980814
2023-08-23,54930976.49835339,5050005.916858597,54930976.49835339,10.43007658915438,1.4300765891543803,0.1117511481355915,Aave Ethereum rETH,494300.13586498186,4387.750463736654,1811.40408521,17980642,67.0,7537322.263968055
2023-08-22,56497284.85505148,8288609.626491365,56497284.85505148,11.282123755519075,2.282123755519077,0.2845848542257815,Aave Ethereum rETH,27565.58302445806,889483.1198662051,1761.5287481,17973522,67.0,12371059.144016962
2023-08-21,58693971.81370351,8511326.726411367,58693971.81370351,11.255729147645663,2.255729147645664,0.2780400143190534,Aave Ethereum rETH,293677.2845602989,59612.17657949409,1802.47262291,17966534,67.0,12703472.725987114
2023-08-20,59030424.14962573,8710305.479815396,59030424.14962573,11.295309571399343,2.2953095713993448,0.2878829437033175,Aave Ethereum rETH,39944.60870848766,33997.79514684132,1820.04729678,17959240,67.0,13000455.940022979
2023-08-19,58356580.84899248,8636495.628122877,58356580.84899248,11.302142014120044,2.302142014120044,0.2895993755485836,Aave Ethereum rETH,4223518.651854368,0.0,1799.47329015,17952085,67.0,12890291.982272951
2023-08-18,54220395.847868234,5005105.206131522,54220395.847868234,10.435936972556632,1.4359369725566322,0.1126689261931183,Aave Ethereum rETH,475136.282438986,103085.12631886566,1802.85904026,17944396,67.0,7470306.277808242
2023-08-17,54370108.68800579,4200639.698980475,54370108.68800579,10.201822327885264,1.2018223278852656,0.0789248810335516,Aave Ethereum rETH,223817.6397380148,60012.03997194601,1819.5243151,17937959,67.0,6269611.4910156345
2023-08-16,58735123.43269004,4701702.416332396,58735123.43269004,10.24520970351087,1.245209703510871,0.0847263294552848,Aave Ethereum rETH,12944.932482551205,40165.27455945599,1969.64385554,17929214,67.0,7017466.293033427
2023-08-15,58897982.33361002,4728406.549935564,58897982.33361002,10.248819788382972,1.2488197883829717,0.0852183150607515,Aave Ethereum rETH,29474.572744079127,0.0,1974.19388696,17923065,67.0,7057323.208859051
2023-08-14,59649146.57803617,4790915.836922686,59649146.57803617,10.249392419604831,1.2493924196048323,0.0852964846355002,Aave Ethereum rETH,91788.34469443417,8973.792185360884,2000.37714284,17914235,67.0,7150620.652123411
2023-08-13,59474388.26232719,4783394.495654221,59474388.26232719,10.251096870208839,1.2510968702088385,0.0855293703331756,Aave Ethereum rETH,507.05924416113805,162012.24336452517,1997.29913246,17907716,67.0,7139394.769633166
2023-08-12,59629545.61971202,4757585.014184133,59629545.61971202,10.241108983412104,1.2411089834121047,0.0841692074400189,Aave Ethereum rETH,17241.945300698873,26958.50428679184,1997.08172249,17902199,67.0,7100873.155498707
